year,date,event
71 BCE,-071-01-01,"Death of Spartacus. End of the Third Servile War, a major slave uprising against the Roman Republic."
63 BCE,-063-01-01,The Siege of Jerusalem leads to the conquest of Judea by the Romans.
49 BCE,-049-01-01,Roman Civil War between Julius Caesar and Pompey the Great.
44 BCE,-044-01-01,Julius Caesar murdered by Marcus Brutus and others; End of Roman Republic; beginning of Roman Empire.
44 BCE,-044-01-01,Burebista is assassinated in the same year like Julius Caesar and his empire breaks into 4 and later 5 kingdoms in modern-day Romania.
30 BCE,-030-01-01,Cleopatra ends her reign as the last active ruler of the Ptolemaic Kingdom of Egypt.
27 BCE,-027-01-01,Formation of Roman Empire: Augustus is given titles of Princeps and Augustus by Roman Senate – beginning of Pax Romana. Formation of influential Praetorian Guard to provide security to Emperor.
18 BCE,-018-01-01,Three Kingdoms period begins in Korea. Herod's Temple is reconstructed.
6 BCE,-006-01-01,Earliest theorized date for birth of Jesus of Nazareth. Roman succession: Gaius Caesar and Lucius Caesar groomed for the throne.
4 BCE,-004-01-01,Widely accepted date (Ussher) for birth of Jesus Christ.
9 CE,9-01-01,"Battle of the Teutoburg Forest, the Imperial Roman Army's bloodiest defeat."
14 CE,14-01-01,"Death of Roman Emperor Augustus Caesar (Octavian), ascension of his adopted son Tiberius to the throne."
37 CE,37-01-01,"Death of Emperor Tiberius, ascension of his nephew Caligula to the throne."
40 CE,40-01-01,Rome conquers Mauretania.
41 CE,41-01-01,Emperor Caligula is assassinated by the Roman senate. His uncle Claudius succeeds him.
43 CE,43-01-01,The Roman Empire enters Great Britain for the first time.
54 CE,54-01-01,Emperor Claudius dies and is succeeded by his grand nephew Nero.
68 CE,68-01-01,"Emperor Nero commits suicide, prompting the Year of the Four Emperors in Rome."
70 CE,70-01-01,Destruction of Jerusalem by the armies of Titus.
79 CE,79-01-01,Destruction of Pompeii by the volcano Vesuvius.
98 CE,98-01-01,"After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Trajan succeeds him."
117 CE,117-01-01,Trajan dies of natural causes. His adopted son Hadrian succeeds him. Hadrian pulls out of Iraq and Armenia.
122 CE,122-01-01,Construction of Hadrian's Wall begins.
126 CE,126-01-01,Hadrian completes the Roman Pantheon.
138 CE,138-01-01,Hadrian dies of natural causes. His adopted son Antoninus Pius succeeds him.
161 CE,161-01-01,Death of Antoninus Pius. His rule was the only one in which Rome did not fight in a war.
161 CE,161-01-01,Marcus Aurelius becomes emperor of the Roman Empire.
180 CE,180-01-01,Reign of Marcus Aurelius officially ends.
192 CE,192-01-01,Kingdom of Champa in Tay Nguyen.
220 CE,220-01-01,Three Kingdoms period begins in China after the fall of Han dynasty.
226 CE,226-01-01,Fall of the Parthian Empire and Rise of the Sassanian Empire.
238 CE,238-01-01,"Defeat of Gordian III (238–244), Philip the Arab (244–249), and Emperor Valerian (253–260), by Shapur I of Persia (Valerian was captured by the Persians)."
280 CE,280-01-01,Emperor Wu of Jin established the First Jin dynasty providing a temporary unity of China after the devastating Three Kingdoms period.
285 CE,285-01-01,Diocletian becomes emperor of Rome and splits the Roman Empire into Eastern and Western Roman Empires.
285 CE,285-01-01,Diocletian begins a large-scale persecution of Christians.
292 CE,292-01-01,The capital of the Roman empire is officially moved from Rome to Mediolanum (modern day Milan).
301 CE,301-01-01,Diocletian's edict on maximum prices.
301 CE,301-01-01,Armenia first to adopt Christianity as state religion.
313 CE,313-01-01,Edict of Milan declared that the Roman Empire would tolerate all forms of religious worship.
325 CE,325-01-01,Constantine I organizes the First Council of Nicaea.
330 CE,330-01-01,Constantinople is officially named and becomes the capital of the eastern Roman Empire.
335 CE,335-01-01,Samudragupta becomes the emperor of the Gupta empire.
337 CE,337-01-01,"Emperor Constantine I dies, leaving his sons Constantius II, Constans I, and Emperor Constantine II as the emperors of the Roman empire."
350 CE,350-01-01,Constantius II is left sole emperor with the death of his two brothers.
354 CE,354-01-01,Birth of Augustine of Hippo.
361 CE,361-01-01,"Constantius II dies, his cousin Emperor Julian succeeds him."
378 CE,378-01-01,"Battle of Adrianople, Roman army is defeated by the Germanic tribes."
380 CE,380-01-01,Roman Emperor Theodosius I declares the Arian faith of Christianity heretical.
395 CE,395-01-01,Theodosius I outlaws all religions other than Catholic Christianity.
400 CE,400-01-01,Highland Maya fall to the lowland city of Teotihuacan.
405 CE,405-01-01,St. Jerome finished the Vulgate.
410 CE,410-01-01,"Rome is sacked by Alaric, King of the Visigoths."
431 CE,431-01-01,Council of Ephesus.
455 CE,455-01-01,"Rome is sacked by Genseric, King of the Vandals."
476 CE,476-01-01,Odoacer deposes the Roman Emperor Romulus Augustulus.
480 CE,480-01-01,"Death of Julius Nepos, last Roman Emperor to be recognized as such by the Roman Senate and the Eastern court."
493 CE,493-01-01,Theodoric the Great killed Odoacer at a banquet after the Siege of Ravenna (490–493).
500 CE,500-01-01,Tikal becomes the first great Maya city.
500 CE,500-01-01,Battle of Mons Badonicus.
507 CE,507-01-01,The Franks under Clovis defeat the Visigoths in the Battle of Vouillé.
524 CE,524-01-01,Boethius writes his Consolation of Philosophy.
525 CE,525-01-01,Dionysius Exiguus publishes the Dionysius Exiguus' Easter table.
527 CE,527-01-01,Justinian I becomes Eastern Roman Emperor.
529 CE,529-01-01,Benedict of Nursia founds monastery at Monte Cassino.
532 CE,532-01-01,Nika riots in Constantinople.
533 CE,533-01-01,"Byzantines, under Belisarius, retake North Africa from the Vandals."
563 CE,563-01-01,Saint Columba founds mission in Iona.
568 CE,568-01-01,The Kingdom of the Lombards is founded in Italy.
570 CE,570-01-01,Muhammad is born.
577 CE,577-01-01,The West Saxons continue their advance at the Battle of Deorham.
590 CE,590-01-01,Gregory the Great becomes Pope.
597 CE,597-01-01,Augustine arrives in Kent.
600 CE,600-01-01,Deliberate fires set for unknown reasons destroy major buildings in Teotihuacan.
622 CE,622-01-01,Muhammad migrates from Mecca to Medina.
626 CE,626-01-01,Joint Persian–Avar–Slav Siege of Constantinople.
627 CE,627-01-01,Battle of Nineveh.
632 CE,632-01-01,Death of Muhammad.
632 CE,632-01-01,Accession of Abu Bakr as first Caliph.
638 CE,638-01-01,"Jerusalem captured by the Arab army, mostly Muslims, but with contingents of Syrian Christians."
642 CE,642-01-01,Battle of Nahavand. Muslims conquer Persia.
643 CE,643-01-01,Arab Army led by Amr ibn al-As takes Alexandria.
645 CE,645-01-01,"In Japan, the Soga clan falls."
650 CE,650-01-01,Slav occupation of Balkans complete.
650 CE,650-01-01,The city-state Xochicalco is founded by the Olmeca–Xicallanca.
663 CE,663-01-01,Synod of Whitby.
668 CE,668-01-01,End of the Three Kingdoms period in Korea.
681 CE,681-01-01,Establishment of the Bulgarian Empire.
685 CE,685-01-01,Battle of Dun Nechtain.
687 CE,687-01-01,Battle of Tertry.
698 CE,698-01-01,Arab army takes Carthage.
698 CE,698-01-01,North–South States Period begins in Korea.
711 CE,711-01-01,Umayyad conquest of Hispania under Tarik.
718 CE,718-01-01,"Second Arab attack on Constantinople, ending in failure."
726 CE,726-01-01,"Iconoclast movement begun in the Byzantine Empire under Leo III. This was opposed by Pope Gregory II, and an important difference between the Roman and Byzantine churches."
732 CE,732-01-01,Battle of Tours. Charles Martel halts Muslim advance.
735 CE,735-01-01,Death of Bede.
750 CE,750-01-01,Beginning of Abbasid Caliphate.
751 CE,751-01-01,Pepin the Short founds the Carolingian dynasty.
754 CE,754-01-01,Pepin promises the Pope central Italy. This is arguably the beginning of the temporal power of the Papacy.
768 CE,768-01-01,Beginning of Charlemagne's reign.
778 CE,778-01-01,Battle of Roncevaux Pass.
786 CE,786-01-01,Accession of Harun al-Rashid to the Caliphate in Baghdad.
793 CE,793-01-01,Sack of Lindisfarne. Viking attacks on Britain begin.
794 CE,794-01-01,Heian period in Japan.
795 CE,795-01-01,Death of Offa.
800 CE,800-01-01,Charlemagne is crowned Holy Roman Emperor.
800 CE,800-01-01,Gunpowder is invented in China (somewhere around 9th century).
814 CE,814-01-01,Death of Charlemagne.
820 CE,820-01-01,Birth of Legendary Viking Ragnar Lodbrok.
820 CE,820-01-01,Algebrae et Alumcabola Algorithm.
825 CE,825-01-01,Battle of Ellandun.  Egbert defeats Mercians.
827 CE,827-01-01,Muslims invade Sicily.
840 CE,840-01-01,Muslims capture Bari and much of southern Italy.
843 CE,843-01-01,Division of Charlemagne's Empire between his grandsons with the Treaty of Verdun.
843 CE,843-01-01,"Kenneth McAlpin becomes king of the Picts and Scots, creating the Kingdom of Alba."
862 CE,862-01-01,"Viking state in Russia founded under Rurik, first at Novgorod, then Kiev."
864 CE,864-01-01,Christianization of Bulgaria.
866 CE,866-01-01,Fujiwara period in Japan.
865 CE,865-01-01,Death of Ragnar Lodbrok.
866 CE,866-01-01,Viking Great Army arrives in England.
868 CE,868-01-01,Earliest known printed book Diamond Sutra in China with a date.
871 CE,871-01-01,"Alfred the Great assumes the throne, the first king of a united England."
872 CE,872-01-01,Harold Fairhair becomes King of Norway.
874 CE,874-01-01,Iceland is settled by Norsemen.
882 CE,882-01-01,Kievan Rus' is established.
885 CE,885-01-01,Arrival of the disciples of Saints Cyril and Methodius in Bulgaria.
893 CE,893-01-01,Emperor Simeon I becomes ruler of the First Bulgarian Empire in the Balkans.
896 CE,896-01-01,Arpad and the Magyars are present in Pannonia.
899 CE,899-01-01,Death of Alfred the Great.
900 CE,900-01-01,Lowland Maya cities in the south collapse.
907 CE,907-01-01,Tang Dynasty ends with Emperor Ai deposed.
910 CE,910-01-01,"King Edward the Elder of England, son of King Alfred, defeats the Northumbrian Vikings at the Battle of Tettenhall."
910 CE,910-01-01,"Cluny Abbey is founded by William I, Count of Auvergne."
911 CE,911-01-01,"The Viking Rollo and his tribe settle in what is now Normandy by the terms of the Treaty of Saint-Clair-sur-Epte, founding the Duchy of Normandy."
913 CE,913-01-01,Sri Kesari Warmadewa reigned in Walidwipa (Bali).
917 CE,917-01-01,Battle of Anchialus. Simeon I the Great defeats the Byzantines.
919 CE,919-01-01,"Henry the Fowler, Duke of Saxony elected German King.  First king of the Ottonian Dynasty."
925 CE,925-01-01,"The first King of Croatia (rex Croatorum), Tomislav (910–928) of the Trpimirović dynasty was crowned."
927 CE,927-01-01,"King Aethelstan the Glorious unites the heptarchy of The Anglo-Saxon  nations of Wessex, Sussex, Essex, Kent, East Anglia, Mercia and Northumbria founding the Kingdom of England."
927 CE,927-01-01,"According to Theophanes Continuatus (The Continuer of Theophanes's Chronicle) – Tomislav of Croatia defeated Bulgarian army of Tsar Simeon I under Duke Alogobotur, in battle of the Bosnian Highlands."
927 CE,927-01-01,"Death of Simeon I the Great. Recognition of the Bulgarian Patriarchate, the first independent National Church in Europe."
929 CE,929-01-01,Abd-ar-Rahman III of the Umayyad dynasty in al-Andalus (part of the Iberian peninsula) takes the title of Caliph or ruler of the Islamic world.
936 CE,936-01-01,Wang Geon unified Later Three Kingdoms of Korea.
938 CE,938-01-01,Ngo Quyen won the battle of Bach Dang against the Chinese Southern Han army.
955 CE,955-01-01,"Battle of Lechfeld. Otto the Great, son of Henry the Fowler, defeats the Magyars."
960 CE,960-01-01,Mieszko I becomes duke of Polans.
960 CE,960-01-01,"Song Dynasty begins after Emperor of Taizu usurps the throne from the Later Zhou, last of the Five Dynasties."
962 CE,962-01-01,Otto the Great crowned the Holy Roman Emperor.
969 CE,969-01-01,John I Tzimiskes and Nikephoros II are executed.
976 CE,976-01-01,Death of John I Tzimiskes; Basil II (his co-emperor) takes sole power.
978 CE,978-01-01,Al-Mansur Ibn Abi Aamir becomes de facto ruler of Muslim Al-Andalus.
981 CE,981-01-01,"Basil II (called 'Bulgar Slayer') begins final conquest of Bulgaria."
985 CE,985-01-01,"Eric the Red, exiled from Iceland, begins Scandinavian colonization of Greenland."
987 CE,987-01-01,Succession of Hugh Capet to the French Throne.
988 CE,988-01-01,"Volodymyr I of Kiev embraces Christianity, which becomes national religion."
989 CE,989-01-01,Peace and Truce of God formed.
1001 CE,1001-01-01,Leif Erikson is to settle during the winter in present-day Canada at L'Anse aux Meadows.
1016 CE,1016-01-01,"Canute the Great becomes King of England after the death of Edmund Ironside, with whom he shared the English throne."
1018 CE,1018-01-01,The Byzantines under Basil II conquer Bulgaria after a bitter 50-years struggle.
1021 CE,1021-01-01,"The Tale of Genji, written by Murasaki Shikibu, is completed sometime before this date."
1025 CE,1025-01-01,The Canon of Medicine is written.
1037 CE,1037-01-01,The Great Seljuk Empire is founded by Tughril Beg.
1049 CE,1049-01-01,Pope Leo IX ascends to the papal throne.
1050 CE,1050-01-01,"The astrolabe, an ancient tool of navigation, is first used in Europe."
1050 CE,1050-01-01,Westminster Abbey is built.
1054 CE,1054-01-01,The East-West Schism which divided the church into Western Catholicism and Eastern Orthodoxy.
1066 CE,1066-01-01,"William the Conqueror, Duke of Normandy, invades England and becomes King after the Battle of Hastings."
1067 CE,1067-01-01,Pope Gregory VII elevated to the papal throne.
1071 CE,1071-01-01,"The Seljuks under Alp Arslan defeat the Byzantine army at Manzikert. The Normans capture Bari, the last Byzantine possession in southern Italy."
1075 CE,1075-01-01,Dictatus Papae in which Pope Gregory VII defines the powers of the pope.
1077 CE,1077-01-01,"Holy Roman Emperor Henry IV  walks to Canossa where he stands barefoot in the snow to beg forgiveness of the Pope for his offences, and admitting defeat in the Investiture Controversy."
1077 CE,1077-01-01,The Construction of the Tower of London begins.
1086 CE,1086-01-01,"The compilation of the Domesday Book, a great land and property survey commissioned by William the Conqueror to assess his new possessions."
1088 CE,1088-01-01,University of Bologna is formed.
1095 CE,1095-01-01,"Pope Urban issues the Crusades to capture the Holy Land, and to repel the Seljuk Turks from the Byzantine Empire from Alexios I Komnenos."
1098 CE,1098-01-01,The Cistercian Order is founded.
1099 CE,1099-01-01,First Crusade. Jerusalem is re-taken from the Muslims on the urging of Pope Urban II.
1100 CE,1100-01-01,"Latin-translation of the great masters of Arabic medicine: Rhazes, Ishaq Ibn Imran, Ibn Suleiman, and Ibn al-Jazzar."
1102 CE,1102-01-01,"Kingdom of Croatia and Kingdom of Hungary formed a personal union of two kingdoms united under the Hungarian king. The act of union was deal with Pacta conventa, by which institutions of separate Croatian statehood were maintained through the Sabor (an assembly of Croatian nobles) and the ban (viceroy). In addition, the Croatian nobles retained their lands and titles."
1102 CE,1102-01-01,Synods of Westminster.
1106 CE,1106-01-01,"Henry I of England defeats his older brother Robert Curthose, duke of Normandy, at the Battle of Tinchebrai, and imprisons him in Devizes castle; Edgar Atheling and William Clito are also taken prisoner."
1107 CE,1107-01-01,"Through the Compromise of 1107, suggested by Adela, the sister of King Henry, the Investiture Struggle in England is ended."
1109 CE,1109-01-01,"In the Battle of Naklo, Boleslaus III Wrymouth defeats the Pomeranians."
1109 CE,1109-01-01,"In the Battle of Hundsfeld, Boleslaus III Wrymouth defeats Emperor Henry V."
1116 CE,1116-01-01,The Byzantine army defeats the Turks at Philomelion.
1117 CE,1117-01-01,The University of Oxford is founded.
1118 CE,1118-01-01,The Knights Templar are founded to protect Jerusalem and European pilgrims on their journey to the city.
1121 CE,1121-01-01,St. Norbert and 29 companions make their solemn vows marking the beginning of the Premonstratensian Order.
1122 CE,1122-01-01,The Concordat of Worms was drawn up between Emperor Henry V and Pope Calixtus II.
1123 CE,1123-01-01,The First Lateran Council followed and confirmed the Concordat of Worms.
1125 CE,1125-01-01,"Lothair of Supplinburg, duke of Saxony, is elected Holy Roman Emperor instead of the nearest heir, Frederick of Swabia."
1130 CE,1130-01-01,"Roger II is crowned King of Sicily, a Royal title given him by the Antipope Anacletus II."
1135 CE,1135-01-01,The Anarchy begins in England.
1139 CE,1139-01-01,"The Second Lateran Council declared clerical marriages invalid, regulated clerical dress, and punished attacks on clerics by excommunication."
1140 CE,1140-01-01,Decretum.
1144 CE,1144-01-01,Rebuild of Basilica of Saint Denis.
1150 CE,1150-01-01,"Ramon Berenguer IV, Count of Barcelona, married Queen Petronilla of Aragon. They had been betrothed in 1137."
1150 CE,1150-01-01,Founding of the University of Paris.
1152 CE,1152-01-01,The Synod of Kells-Mellifont established the present diocesan system of Ireland (with later modifications) and recognized the primacy of Armagh.
1154 CE,1154-01-01,Common Law.
1158 CE,1158-01-01,The Hanseatic League is founded.
1163 CE,1163-01-01,The first cornerstone is laid for the construction of Notre Dame de Paris.
1166 CE,1166-01-01,"Stefan Nemanja united Serbian territories, establishing the Medieval Serbian state."
1171 CE,1171-01-01,King Henry II of England lands in Ireland to assert his supremacy and the Synod of Cashel acknowledges his sovereignty.
1174 CE,1174-01-01,"King William I of Scotland, captured in the Battle of Alnwick by the English, accepts the feudal lordship of the English crown and does ceremonial allegiance at York."
1175 CE,1175-01-01,Hōnen Shōnin (Genkū) founds the Jōdo shū (Pure Land) sect of Buddhism.
1176 CE,1176-01-01,"At the Battle of Legnano, the cavalry of Frederick Barbarossa is defeated by the infantry of the Lombard League."
1175 CE,1175-01-01,Latin-translation.
1179 CE,1179-01-01,Church schools.
1179 CE,1179-01-01,"The Third Lateran Council limits papal electees to the cardinals alone, condemns simony, and forbids the promotion of anyone to the episcopate before the age of thirty."
1183 CE,1183-01-01,"The final Peace of Constance between Frederick Barbarossa, the pope, and the Lombard towns is signed."
